productNumber,productPic1,productPic2,productPic3,productPic4,productPic5,productPic6,totalPic,brandPic,productName,brandName,discountPriceHide,discountPrice,originalPrice,readyToBuy,freeShipping,mark,discount,discountHide,favorite,productSummery,material,madeBy,madeIn,specialty,InStock,beAdmired,sold,beCollected
00138,00138a,00138b,00138c,00138d,00138e,,5,b138,巧收。劃一。井然 收納大全配 - 桌面收納架,ZENLET,423,423,4700,542,,,9,9,,一款輕鬆安裝、直覺使用、隨心擴充的多功能收納整合方案。 外型簡約卻功能強大，輕鬆展現你的獨特收納風範。 模組配件，自由定義符合你需求的配置，充份提升工作效率。 簡約設計，任你百搭各種空間風格。,其他金屬,機器製造 ,台灣 ,,,,,
00139,00139a,00139b,00139c,00139d,00139e,,5,b139,山丘 _ 檜木擴香石,neenue,0,,1580,543,,,,,,是擴香石，也是花器，更是承載情緒的載體。 隨著心境的變化，換上不同的花材， 滴上不同的精油；讓療癒蔓延吧。,水泥,手工製造,台灣 ,,,,,
00140,00140a,00140b,00140c,00140d,,,4,b140,楊枝蔓柳 薄床包兩用被組(60支)專櫃級 100%天絲【超取限一組】,,138,138,1530,544,免運,,9,9,,100%萊賽爾纖維 超強吸濕性透氣涼爽 防靜電高品質睡眠保證 極親膚舒適 柔軟如絲綢般的觸感,其他材質,機器製造 ,台灣 ,,,,,
00141,00141a,00141b,,,,,2,b141,三角抬腿枕 人體工學設計 聚酯纖維棉 台灣製,annahome棉床本舖,36,36,399,545,免運,,9,9,,限量布製成之抱枕 觸感特殊/花樣特殊 布套可取下方便清洗 限量發售,聚酯纖維,機器製造 ,台灣 ,,,,,
00142,00142a,,,,,,1,b142,畫布上的花圈|乾燥花|不凋花|婚禮配件|送禮|畫框|客製化,四季花緒,0,,1200,546,,,,,,這是一個在畫布上設計的花圈，用不同方式呈現畫布上的立體感， 可搭配手繪文字，讓你對他、她、everyone、anyone ....或自己，寫下你想說的話， 讓花與文字融為一體，成為你獨一無二的專屬禮!,植物．花,手工製造,台灣 ,,,,,
00143,00143a,00143b,00143c,00143d,00143e,,5,b143,【快速出貨】居家防疫 除舊佈新 空氣淨化器 奈米光觸媒,ROOMMI,4490,4490,5282,547,免運,,85,85,,嘖嘖募資突破兩千萬，清淨機嘖嘖史上最高 光分解倍增引擎，可淨化高達 10 坪空間 終生 0 耗材費，真正高 CP 細菌病毒淨化率、PM 2.5 去除率99.9% 甲醛、異味快速淨化 節能省電一天不到 1 塊錢 100% 台灣製造,其他金屬,機器製造 ,台灣 ,,,,,
00144,00144a,00144b,00144c,00144d,00144e,,5,b144,旗艦品牌免運 |正負零 XQH-X020 空氣清淨機-白色,±0 正負零,0,,3990,548,,,,,,｜2006年度優良設計獎 ｜日本極致簡約風 ｜5-7坪左右空間適用 ｜HEPA 4層濾網結構 ｜5種運轉模式切換 ｜低噪音,樹脂,機器製造 ,中國大陸 ,,,,,
00145,00145a,00145b,,,,,2,b145,諾亞方舟的小犀牛,Maileg,0,,600,549,,,,,,珍貴稀有的小犀牛是諾亞的好朋友，可不能讓他們絕跡了！快來收集諾亞的動物好朋友們～,棉．麻,手工製造,中國大陸 ,,,,,
00146,00146a,00146b,00146c,,,,3,b146,隨意丟零錢盒 零錢收納盒 存錢筒 居家小物 新居 撲滿 畢業,simplewood,0,,880,550,免運,"客製服務, 獨家販售 ",,,,隨手丟輕鬆拿 山毛櫸木零錢盒 零錢 收納盒 斜面滑槽大開孔設計. 零錢隨手丟即可輕易滑入 可收納420個10圓硬幣左右 適合放家中任何一個地方 默默替自己存上一桶金唷 新居落成小禮物,木頭,手工製造,台灣 ,"客製服務, 獨家販售 ",,,,
00147,00147a,00147b,00147c,00147d,,,4,b147,Via K Studio 鬱金香小盆栽 LED仿真花夜燈 情人節禮物 結婚禮物,K Style ( Via K ),0,,899,462,免運,,,,,鬱金香花語-永恆的祝福 純白鬱金香-純潔的愛 粉嫩鬱金香-熱愛幸福 蜜桃鬱金香-高貴珍重 ,其他材質,手工製造,中國大陸 ,,,,,
00148,00148a,00148b,00148c,00148d,00148e,,5,b148,輕工業風 曲木鐵腳工作桌 / 迪克書桌,惠風堂時尚家居 HFT FURNITURE STORE,0,,3380,463,,,,,,○尺寸 : W90 x D45 x H75 CM ○情境圖片僅供參考，本商品內容不含其他展示品,木頭,機器製造 ,越南,,,,,
00149,00149a,00149b,00149c,00149d,00149e,00149f,6,b149,【原生態NatureWorld】分子震盪精油擴香儀/首賣/送精油10ml,原生態 NatureWorld,1485,1485,1980,464,,,75,75,,"精美原木造型的分子震盪精油擴香儀，結合原生態調製的香氛精油，讓精油的療癒力，隨手即可綻放。無須加水即可使用,效果可達8~15坪。",木頭,手工製造,台灣 ,,,,,
00150,00150a,00150b,00150c,00150d,00150e,,5,b150,栓木 || 書桌 餐桌 工作桌,木島 BOKTO,442,442,4910,465,免運,,9,9,,這樣輕量的桌子可以輕鬆移動， 客人來的時候可以將兩張拼在一起，成為一個適合宴客的大桌面。,木頭,手工製造,台灣 ,,,,,
00151,00151a,00151b,00151c,,,,3,b151,淑女寫字桌/化妝桌 + 立體剪裁造型鏡 (可單買 / 組合價有優惠),Handi Racoco 家具,0,,5800,466,免運,,,,,氣質優雅的化妝桌，可搭配化妝鏡,木頭,手工製造,台灣 ,,,,,
00152,00152a,00152b,00152c,00152d,00152e,,5,b152,原木雙層架 收納好幫手 辦公室、廚房都適用,原木哲學 feelosophy,0,,1280,97,免運,,,,,雙層收納架 雙倍你的生活空間 北歐風格生活居家品，設計感無所不在 嚴選北美鐵杉製作，比市面上廉價木、貼皮木，更堅固耐用 以鐵杉的優雅木紋，打造居家風格經典單品,木頭,手工製造,台灣 ,,,,,
00153,00153a,00153b,00153c,,,,3,b153,和織系列－市松葉綠 兩片組,MIGUSA美草榻榻米,0,,5960,98,免運,得獎設計,,,,MIGUSA美草榻榻米．日式地墊 防水、防蟎、好清潔,塑膠,機器製造 ,日本,得獎設計,,,,
00154,00154a,00154b,00154c,00154d,,,4,b154,現貨 S05 玻璃罩盅LED 畢業禮物 畢業季 交換禮 造型公仔 情人節,KEYURA GARDEN瓔珞莊園,0,,680,99,,,,,,'此款含LED燈(可更換電池)及禮盒包裝' 公仔不挑選 由乾燥索拉玫瑰.永生花玫瑰.繡球搭配乾燥花材製作而成 花面約7cm 花禮總高約10cm 禮盒尺寸10*10*10cm,植物．花,手工製造,台灣 ,,,,,
00155,00155a,00155b,00155c,00155d,00155e,,5,b155,#熱銷補貨到 韓國nineware 簡約碗盤木角瀝水籃11L / 共3色,Nineware 韓國創意餐廚,1598,1598,1880,100,,,85,85,,優雅流線輪廓設計，360°可旋轉排水設計，穩固橡膠防滑底坐,塑膠,機器製造 ,南韓,,,,,
00156,00156a,00156b,,,,,2,b156,【MELT】Grandma's Kitchen味100%大豆蠟燭,The Candle Company,499,499,525,101,免運,,95,95,,"MELT大豆蠟燭系列具有獨特香氣和充滿玩味的名字，旨在讓您會心微笑=) Grandma's Kitchen 由美味的蘋果、蜂蜜和肉桂香氣糅合而成, 讓您在記憶之路上進行令人心動的旅行。",蠟,手工製造,香港,,,,,
00157,00157a,00157b,00157c,00157d,00157e,,5,b157,情人節禮物首選 旋轉燭台 獨角獸 金粉雪花杯 85g 大豆蠟香氛蠟燭,Natural Candle Airl,0,,609,102,免運,,,,,Candle Airl 使用100%純正大豆蠟，無黑煙，無殘留物。,蠟,手工製造,香港,,,,,
00158,00158a,00158b,00158c,,,,3,b158,北歐實木鞋櫃鞋架帶掛衣架一體家用客廳門口落地衣帽架換鞋凳組合,無意家居,0,,2139,103,,,,,,6個樹芽，多角度，多層次分佈 集衣帽架、換鞋凳、鞋架於一體 優質產地加持，色澤天然，看得見的清新自然 樹芽360°全形度覆蓋 平衡壓力，滿足一家人掛物的需求超強承重 精選優質原木，穩固耐用，換鞋時安全放心 雙層鞋架 滿足三口之家日常需求,木頭,手工製造,中國大陸 ,,,,,
00159,00159a,00159b,00159c,00159d,00159e,,5,b159,【西班牙製 】Mamut Big Design 瑪牧良作 - 最好墊墊 60X140,Mamut Big Design,0,,2890,474,,,,,,★ 西班牙設計製作 ★ 輕薄 (1.88mm) ★ 不需安裝、不需貼膠 ★ 雙面止滑 ★ 防水、易清潔 ★ 可用清潔劑清洗 ★ 表面使用環保製程，不產生臭氧 ★ UVI印刷，抗日照 ★ 隔熱,塑膠,機器製造 ,西班牙,,,,,
00160,00160a,00160b,,,,,2,b160,健康拉筋箱 - 遠紅外線10段式,森學苑 Forest School,0,,2180,475,,,,,,健康是最珍貴的禮物 耕木工場的健康拉筋箱，適合廣大年齡群 除了有多達10段變化，產品本身有遠紅外線保護漆 健身拉筋之餘還可促進血液循環,木頭,機器製造 ,台灣 ,,,,,
00161,00161a,00161b,,,,,2,b161,雨中的沙漠玫瑰/無框複製畫/實木背框/阿飛攝影A0007,阿飛,0,,1280,476,免運,客製服務 ,,,,採用頂級微噴技術，高解析度及高保存性 讓空間瞬間質感升等 送給朋友的好禮物,其他材質,機器製造 ,台灣 ,客製服務 ,,,,
00162,00162a,00162b,00162c,00162d,,,4,b162,永生花照片寶物盒 相框 生日禮物 照片客製 聖誕節禮物 交換禮物,蒔嚐花藝 shibashibaflorist,0,,990,321,免運,,,,,**商品皆可客製化想說的話在裡面唷** **中文字數10個字以內，英文15個字母以內** 永生花，就像我對你的思念一樣永不止息 謝謝你的一切，我將最美好的時光 永久封存♡,植物．花,手工製造,台灣 ,,,,,
00163,00163a,00163b,00163c,,,,3,b163,Mesa - 粉紅色線條掛鐘 桌鐘 靜音,Desrochers x 曜生活,70,70,880,322,免運,獨家販售 ,8,8,,"另提供腳座,可放置桌上,相當方便 ",其他金屬,手工製造,台灣 ,獨家販售 ,,,,
00164,00164a,00164b,00164c,,,,3,b164,居家好物 | Eufy T2520 無線手持臭氧吸塵器-藍色,ANKER,0,,1680,323,免運,,,,,●無線設計 ，走到哪 吸到哪 ●小巧身形、強悍清潔力 ●臭氧淨化，滅菌除味 ●淨化99.97%以上細菌、病毒與微生物 ●5500Pa勁量大吸力 ●薄型刷頭設計，可輕易深入縫隙,其他材質,機器製造 ,中國大陸 ,,,,,
00165,00165a,00165b,,,,,2,b165,永生美利亞拼貼玫瑰捧花,Teresa’s Floral Design,0,,6500,324,,,,,,"手作的溫度最貼近人心,所有商品皆由設計師手工製作,並提供客製化設計服務,設計出只專屬於您的客製花禮,生活要有的儀式感,儘管時間不停歇,再忙碌,也要停下腳步,優雅渡過每一天。",植物．花,手工製造,台灣 ,,,,,
00166,00166a,00166b,,,,,2,b166,海洋之流,浮流藝術,0,,4590,325,免運,獨家販售 ,,,,畫作尺寸：直徑50公分 媒材成分：壓克力顏料 創作日期：2020年,顏料,手工製造,台灣 ,獨家販售 ,,,,
00167,00167a,00167b,00167c,00167d,00167e,,5,b167,獨家 -【超值雙瓶】KINTO 提式輕巧保溫瓶 大+小2入組,KINTO Taiwan (授權總代理),2173,2173,2650,326,,,82,82,,圓潤好握取的把手，配上啞光色的外型，讓您的OFF TIME格外輕鬆自在！針對活力旺盛的孩子所設計的吸管式保溫瓶，繽紛的色彩帶來了生命力！,不鏽鋼,機器製造 ,中國大陸 ,,,,,
00168,00168a,00168b,00168c,,,,3,b168,純白蒲公英魔法球 乾燥花 永生花 婚禮 畢業禮物 玻璃罩 情人節,WANYI 玩藝花坊,0,,1300,327,,,,,,在蒲公英的單純、善良、純淨世界裡 加上各種美好元素 通通放入魔法玻璃罩中 呈現滿滿的心意出來🥰🥰,植物．花,手工製造,台灣 ,,,,,
00169,00169a,00169b,00169c,00169d,,,4,b169,【畢業禮物推薦】轉轉零錢盒二代 / 禮物版,mordeco,0,,1580,328,免運,得獎設計,,,,● 好開，專利磁力旋轉機構， 滑開取物一氣呵成 ● 好放，漏斗形結構，零錢輕鬆滑落 ● 適用全世界通用硬幣大小 ● 山毛櫸實木與鋁合金上蓋，天然細膩，觸感溫潤 ● 禮物版方便送禮。（附硬紙袋＋酒紅棉紙）,木頭,手工製造,台灣 ,得獎設計,,,,
00170,00170a,00170b,00170c,,,,3,b170,星夜蠟燭 - 蘭花 250g,The Candleholic,0,,915,329,免運,,,,,香薰：蘭花 描述：由桃、蘭花、連花等成份調配，星夜蠟燭將充滿星星的夜空淡雅味道透過嗅覺重現你的眼前。 容量：250克 燃燒時間：33-36小時 The Candleholic 。堅守以天然材料造成蠟燭的原則，採用從美國入口的純淨精,玻璃,手工製造,越南,,,,,
00171,00171a,00171b,00171c,00171d,00171e,,5,b171,SimpliCute | Oliver the Sloth 樹懶,SimpliCute,0,,480,330,,,,,,SimpliCute | Oliver the Sloth 樹懶 懶洋洋又可愛的樹懶,其他人造纖維,手工製造,中國大陸 ,,,,,
00172,00172a,00172b,00172c,00172d,,,4,b172,防塵扭蛋公仔收納櫃 迷霧拉門 模型展示收納盒,,0,,1580,331,,,,,,Moosy Life 目喜生活,壓克力,手工製造,台灣 ,,,,,
00173,00173a,00173b,00173c,00173d,,,4,b173,HOLA 迪士尼系列雲朵絨懶骨頭-小豬,HOLA特力和樂,2500,2500,3290,332,,,76,76,,HOLA 迪士尼系列雲朵絨懶骨頭-小豬,聚酯纖維,機器製造 ,中國大陸 ,,,,,
00174,00174a,00174b,00174c,00174d,,,4,b174,【母親節推薦】18星芒/ 玻璃花器13,HANSCHIU 瀚思,0,,680,489,,,,,,直徑 8cm x 高13cm，瓶口直徑4公分，容量：500ml，手工硼玻璃，每組1入，一般紙盒包裝。,玻璃,手工製造,台灣 ,,,,,
00175,00175a,,,,,,1,b175,【日本和樂の音色】吐司造型沙發椅A399.A442,FULUX 弗洛克,0,,4680,490,免運,,,,,．2020年日本連線新款 ．吐司荷包蛋系列 ．大沙發可攤開變身單人床墊,其他材質,機器製造 ,日本,,,,,
00176,00176a,00176b,00176c,00176d,,,4,b176,Miffy First Light 小夜燈,hellolittleshop,0,,3529,491,免運,得獎設計,,,,一個能帶來小奇蹟的小伙伴～ Miffy first light 無論在何時何地都能帶來寧靜和柔和的光線,矽膠,機器製造 ,中國大陸 ,得獎設計,,,,
00177,00177a,00177b,00177c,00177d,00177e,00177f,6,b177,維斯格林 北歐 現代 日式 實木 餐椅 希望椅 Y椅 Wishbone Chair,WealthyGreen 全實木家具廠,0,,3200,492,免運,,,,,材質說明: 嚴選北美梣木+環保木噴漆+進口牛皮紙繩，賣場內商品顏色為原木色，可另外客定顏色，實際現貨以客服告知為主,木頭,手工製造,台灣 ,,,,,
00178,00178a,00178b,00178c,00178d,,,4,b178,面紙套 樁花,Fcns販賣機,361,361,380,493,免運,客製服務 ,95,95,,面紙套，讓居家環境變美麗 兩用，打開也可以當餐墊使用歐 ,棉．麻,手工製造,台灣 ,客製服務 ,,,,
00179,00179a,00179b,00179c,00179d,00179e,,5,b179,起司 擴香石 香磚 薰香石 送禮 畢業禮物 交換禮物 生日 實用,Denny Chang,0,,280,494,免運,獨家販售 ,,,,獨家起司造型擴香石不管送禮自用都賞心悅目，造型很可口但請勿食用唷！,其他材質,手工製造,台灣 ,獨家販售 ,,,,
00180,00180a,00180b,00180c,00180d,00180e,,5,b180,可愛小鹿夜燈 | 附精緻禮物包裝,ideamonster,500,500,588,495,,,85,85,,◆圓滾滾的療癒造型，柔軟舒服的觸感，給您隨時所需的溫暖夜光 ! ◆提供溫暖黃光與溫暖白光兩種色溫的LED燈與三段亮度可調整 ! ◆燈罩為安全無毒的柔軟矽膠材質 ! ◆雙層濾光設計，燈光更柔和不刺眼 ! ◆內建充電鋰電池，不需插電不受環境限制,矽膠,機器製造 ,中國大陸 ,,,,,
00181,00181a,00181b,00181c,,,,3,b181,手工五關節迷你狗狗抱偶玩偶 藝術家泰迪熊,MadebyHinme,0,,2369,496,,,,,,玩偶只有一隻，下單前請來信確認庫存，謝謝~,其他材質,手工製造,香港,,,,,
00182,00182a,00182b,00182c,00182d,00182e,,5,b182,北歐木作兩抽牆邊桌,笨木頭 Bamtor,0,,3980,497,免運,,,,,「北歐木質兩抽牆邊桌」　 是一款具穿透感的設計，底部鏤空的部分不僅是為了收納做使用，更是希望在這樣的視覺表現上牆邊桌不會顯得厚重，反而更能與牆面做一個搭配，而頂部的雙拉抽屜，則是設計為可以擺放些體積較小的物件。,木頭,手工製造,中國大陸 ,,,,,
00183,00183a,00183b,00183c,,,,3,b183,【送布袋 】全蠟燭配件組合 - 燭芯剪 滅燭罩 蠟燭鉤,Nook.mylife(小角落),0,,530,498,,,,,,🕯從細節開始🕯 愛點蠟燭大家相信對滅燭工具有一定的認識! 🕯🕯蠟燭工具組 有賣啦🕯🕯 1️⃣滅燭罩 2️⃣燭芯剪 3️⃣燭芯勾 (三件送布袋❤️） 💛買本店任何蠟燭可＋＄150 HKD 換購,其他金屬,機器製造 ,香港,,,,,
00184,00184a,00184b,00184c,00184d,00184e,00184f,6,b184,拾植 l 互動式燈飾 木質夜燈,MoziDozen,0,,4400,499,免運,,,,,撿拾大自然所給予我們的溫暖擁抱，將它植入、常伴我們的生活。 推薦給喜歡品味生活、想增添溫潤且沉靜的你/妳,木頭,手工製造,台灣 ,,,,,
00185,00185a,00185b,00185c,00185d,,,4,b185,工業風藤椅,ComfyCozy 原居,439,439,4875,500,免運,,9,9,,崇尚簡單生活，喜愛分享大自然之美及手作工藝。,植物．花,手工製造,印尼,,,,,
00186,00186a,00186b,00186c,00186d,00186e,,5,b186,維斯塔收納櫃,MH家居,0,,1777,501,免運,,,,,➤ 韓劇「最強送貨員」同款櫃 ➤ 堅固鐵架 北歐百搭質感 ➤ 陶瓷手把 布面收納盒,其他金屬,機器製造 ,中國大陸 ,,,,,
00187,00187a,00187b,00187c,00187d,00187e,00187f,6,b187,梅爾森收納掛衣架(二層),MH家居,0,,1240,502,,,,,,➤ 韓國設計 獨家進口款 ➤ 簡約時尚北歐風掛衣架 ➤ 實用雙層 衣物收納更方便 ➤ 適用家庭/民宿/飯店等空間 ➤ 預購款預計8/5依排序出貨,其他金屬,機器製造 ,中國大陸 ,,,,,
00188,00188a,00188b,00188c,,,,3,b188,質感木製三層推車-白/家居收納,立格扉 Ligfe,0,,1530,503,免運,,,,,忙碌生活中的時尚收納推車 客廳午後的下午茶、床邊擺放的雜誌 日常小物一一收納，質感居家生活現正展開,木頭,機器製造 ,中國大陸 ,,,,,
00189,00189a,,,,,,1,b189,【新產品】官方授權3D Pac-Man經典角色小夜燈,Paladone UK,0,,1219,504,,,,,,官方授權3D Pac-Man經典角色小夜燈 ，立體設計，把復古經典食鬼主角和三色鬼遊戲角色帶到您的房間， Pac-Man Light非常適合在臥室、遊戲室或書房內使用，非常適合經典街機食鬼系列的愛好者，可用作為生日禮物、辦公室小擺設 。,塑膠,機器製造 ,中國大陸 ,,,,,
00190,00190a,00190b,00190c,00190d,,,4,b190,大理石紋水泥盆栽 • 可客製名字 一定要買的生日禮物 婚禮小物,littlewalk小肉園步道•水泥飾物,0,,350,505,免運,,,,,1.大理石紋水泥盆栽（ 很有質感 ） 2.可客製製英文字母 （ 專屬泥的 ） 3.可客製數字(專屬泥的紀念日),水泥,手工製造,台灣 ,,,,,
00191,00191a,00191b,00191c,00191d,00191e,,5,b191,"小白鷺 成人/兒童 衣架 , 隨手掛取常用衣物",9house Design / 九窩設計,0,,2950,506,免運,,,,,日常生活中隨手使用的衣架，經由全新的極簡設計搭配巧思結構，變的更加美麗及耐用。,木頭,手工製造,台灣 ,,,,,
00192,00192a,00192b,00192c,00192d,,,4,b192,HOLA 迪士尼系列公主造型抱枕-小美人魚,HOLA特力和樂,701,701,899,507,,,78,78,,HOLA 迪士尼系列公主造型抱枕-小美人魚,其他材質,機器製造 ,中國大陸 ,,,,,
